"average_months_on_waiting_list","average_months_since_moved_in","county","percent_62_or_more_head_or_spouse","percent_85_or_more_head_or_spouse","percent_minority","percent_occupied","state","total_wait"
26,85,"=""Grady County""",42,1,87,88,"=""GA""",111
7,88,"=""Greene County""",25,NA,98,90,"=""GA""",95
14,124,"=""Gwinnett County""",27,4,90,69,"=""GA""",138
3,71,"=""Habersham County""",40,1,17,85,"=""GA""",74
33,95,"=""Hall County""",34,2,67,86,"=""GA""",128
128,187,"=""Hancock County""",35,4,98,77,"=""GA""",315
6,96,"=""Haralson County""",42,3,13,84,"=""GA""",102
11,143,"=""Harris County""",34,NA,89,93,"=""GA""",154
7,95,"=""Hart County""",33,2,61,96,"=""GA""",102
6,128,"=""Heard County""",46,1,35,97,"=""GA""",134
17,131,"=""Henry County""",14,0,97,67,"=""GA""",148
18,124,"=""Houston County""",25,2,88,72,"=""GA""",142
4,71,"=""Irwin County""",25,NA,80,95,"=""GA""",75
7,108,"=""Jackson County""",32,0,53,89,"=""GA""",115
35,141,"=""Jasper County""",38,4,86,88,"=""GA""",176
22,81,"=""Jeff Davis County""",29,1,73,96,"=""GA""",103
10,96,"=""Jefferson County""",20,1,100,96,"=""GA""",106
10,72,"=""Jenkins County""",27,NA,92,94,"=""GA""",82
23,109,"=""Johnson County""",38,1,76,97,"=""GA""",132
NA,128,"=""Jones County""",29,2,85,64,"=""GA""",127
17,94,"=""Lamar County""",25,1,74,88,"=""GA""",111
15,116,"=""Lanier County""",11,NA,74,80,"=""GA""",131
17,91,"=""Laurens County""",21,1,92,89,"=""GA""",108
13,84,"=""Lee County""",25,NA,84,78,"=""GA""",97
9,79,"=""Liberty County""",17,1,91,82,"=""GA""",88
5,107,"=""Lincoln County""",48,2,68,95,"=""GA""",112
NA,NA,"=""Long County""",NA,NA,NA,NA,"=""GA""",-8
12,95,"=""Lowndes County""",26,1,90,77,"=""GA""",107
NA,139,"=""Lumpkin County""",48,4,4,74,"=""GA""",138
5,148,"=""McDuffie County""",24,NA,94,83,"=""GA""",153
NA,NA,"=""McIntosh County""",NA,NA,NA,NA,"=""GA""",-8
11,99,"=""Macon County""",33,2,93,90,"=""GA""",110
5,113,"=""Madison County""",28,4,59,86,"=""GA""",118
6,117,"=""Marion County""",23,1,99,87,"=""GA""",123
23,115,"=""Meriwether County""",35,1,93,91,"=""GA""",138
3,92,"=""Miller County""",41,3,61,97,"=""GA""",95
10,109,"=""Mitchell County""",23,1,96,94,"=""GA""",119
NA,124,"=""Monroe County""",28,NA,87,95,"=""GA""",123
6,103,"=""Montgomery County""",29,NA,81,91,"=""GA""",109
17,131,"=""Morgan County""",28,2,89,87,"=""GA""",148
50,103,"=""Murray County""",54,8,7,98,"=""GA""",153
2,74,"=""Muscogee County""",31,2,91,79,"=""GA""",76
16,139,"=""Newton County""",27,2,90,70,"=""GA""",155
NA,NA,"=""Oconee County""",NA,NA,NA,NA,"=""GA""",-8
NA,NA,"=""Oglethorpe County""",NA,NA,NA,NA,"=""GA""",-8
10,118,"=""Paulding County""",27,1,77,76,"=""GA""",128
9,115,"=""Peach County""",27,0,98,79,"=""GA""",124
20,96,"=""Pickens County""",56,7,9,88,"=""GA""",116
13,88,"=""Pierce County""",41,2,51,96,"=""GA""",101
NA,NA,"=""Pike County""",NA,NA,NA,NA,"=""GA""",-8
22,68,"=""Polk County""",40,2,50,83,"=""GA""",90
12,50,"=""Pulaski County""",36,2,94,78,"=""GA""",62
NA,93,"=""Putnam County""",32,1,84,89,"=""GA""",92
NA,NA,"=""Quitman County""",NA,NA,NA,NA,"=""GA""",-8
15,92,"=""Rabun County""",47,6,2,100,"=""GA""",107
4,91,"=""Randolph County""",25,1,85,92,"=""GA""",95
56,92,"=""Richmond County""",24,1,92,87,"=""GA""",148
49,108,"=""Rockdale County""",28,2,86,74,"=""GA""",157
20,117,"=""Schley County""",24,NA,98,99,"=""GA""",137
7,68,"=""Screven County""",36,2,90,95,"=""GA""",75
NA,NA,"=""Seminole County""",NA,NA,NA,NA,"=""GA""",-8
12,106,"=""Spalding County""",36,2,86,80,"=""GA""",118
NA,69,"=""Stephens County""",40,1,37,93,"=""GA""",68
NA,105,"=""Stewart County""",44,1,100,98,"=""GA""",104
19,103,"=""Sumter County""",20,1,94,90,"=""GA""",122
12,151,"=""Talbot County""",26,NA,98,95,"=""GA""",163
NA,137,"=""Taliaferro County""",43,7,93,90,"=""GA""",136
13,80,"=""Tattnall County""",30,0,76,97,"=""GA""",93
13,131,"=""Taylor County""",42,2,86,85,"=""GA""",144
17,74,"=""Telfair County""",19,NA,81,95,"=""GA""",91
16,115,"=""Terrell County""",18,1,98,86,"=""GA""",131
9,80,"=""Thomas County""",27,1,94,92,"=""GA""",89
11,86,"=""Tift County""",31,1,80,92,"=""GA""",97
4,69,"=""Toombs County""",24,1,72,91,"=""GA""",73
NA,NA,"=""Towns County""",NA,NA,NA,NA,"=""GA""",-8
3,78,"=""Treutlen County""",20,NA,84,97,"=""GA""",81
14,88,"=""Troup County""",30,2,85,85,"=""GA""",102
5,94,"=""Turner County""",36,3,82,93,"=""GA""",99
NA,NA,"=""Twiggs County""",NA,NA,NA,NA,"=""GA""",-8
NA,69,"=""Union County""",99,20,3,96,"=""GA""",68
10,105,"=""Upson County""",28,1,86,91,"=""GA""",115
11,84,"=""Walker County""",38,2,14,91,"=""GA""",95
28,121,"=""Walton County""",38,2,76,83,"=""GA""",149
15,98,"=""Ware County""",28,1,80,87,"=""GA""",113
5,99,"=""Warren County""",14,2,83,94,"=""GA""",104
36,115,"=""Washington County""",27,2,96,98,"=""GA""",151
NA,54,"=""Wayne County""",20,1,68,83,"=""GA""",53
NA,NA,"=""Webster County""",NA,NA,NA,NA,"=""GA""",-8
6,59,"=""Wheeler County""",22,NA,73,98,"=""GA""",65
NA,83,"=""White County""",49,4,12,86,"=""GA""",82
NA,91,"=""Whitfield County""",52,3,34,90,"=""GA""",90
NA,90,"=""Wilcox County""",17,NA,69,98,"=""GA""",89
27,147,"=""Wilkes County""",23,2,98,94,"=""GA""",174
NA,63,"=""Wilkinson County""",24,3,86,91,"=""GA""",62
13,141,"=""Worth County""",33,2,96,71,"=""GA""",154
14,102,"=""Hawaii County""",39,2,72,97,"=""HI""",116
24,139,"=""Honolulu County""",46,5,86,85,"=""HI""",163
20,97,"=""Kauai County""",45,3,62,77,"=""HI""",117
28,100,"=""Maui County""",44,3,64,94,"=""HI""",128
30,92,"=""Ada County""",45,3,20,91,"=""ID""",122
NA,NA,"=""Adams County""",NA,NA,NA,NA,"=""ID""",-8
16,82,"=""Bannock County""",34,1,15,72,"=""ID""",98
NA,69,"=""Bear Lake County""",53,NA,6,93,"=""ID""",68
NA,75,"=""Benewah County""",14,NA,6,90,"=""ID""",74
20,71,"=""Bingham County""",40,3,15,86,"=""ID""",91
12,68,"=""Blaine County""",27,2,45,81,"=""ID""",80
NA,102,"=""Boise County""",56,NA,17,91,"=""ID""",101
14,103,"=""Bonner County""",47,3,3,85,"=""ID""",117
21,76,"=""Bonneville County""",30,2,18,82,"=""ID""",97
23,51,"=""Boundary County""",38,4,8,85,"=""ID""",74
NA,NA,"=""Butte County""",NA,NA,NA,NA,"=""ID""",-8
26,80,"=""Canyon County""",41,3,31,98,"=""ID""",106
NA,89,"=""Caribou County""",78,NA,6,96,"=""ID""",88
12,66,"=""Cassia County""",56,5,32,86,"=""ID""",78
11,115,"=""Clearwater County""",32,3,8,80,"=""ID""",126
NA,NA,"=""Custer County""",NA,NA,NA,NA,"=""ID""",-8
7,78,"=""Elmore County""",37,4,16,95,"=""ID""",85
NA,74,"=""Franklin County""",55,3,0,83,"=""ID""",73
11,59,"=""Fremont County""",31,2,4,88,"=""ID""",70
63,104,"=""Gem County""",39,2,11,94,"=""ID""",167
7,73,"=""Gooding County""",74,12,2,92,"=""ID""",80
7,80,"=""Idaho County""",32,1,7,78,"=""ID""",87
15,47,"=""Jefferson County""",17,NA,10,87,"=""ID""",62
11,84,"=""Jerome County""",51,8,13,92,"=""ID""",95
17,74,"=""Kootenai County""",53,5,8,84,"=""ID""",91
9,80,"=""Latah County""",32,1,8,82,"=""ID""",89
NA,92,"=""Lemhi County""",35,2,6,91,"=""ID""",91
12,92,"=""Lewis County""",72,3,5,88,"=""ID""",104
13,60,"=""Lincoln County""",83,4,4,95,"=""ID""",73
17,64,"=""Madison County""",28,1,12,87,"=""ID""",81
12,68,"=""Minidoka County""",47,3,25,93,"=""ID""",80
9,80,"=""Nez Perce County""",50,4,9,85,"=""ID""",89
NA,49,"=""Oneida County""",64,NA,7,90,"=""ID""",48
NA,126,"=""Owyhee County""",70,5,35,99,"=""ID""",125
NA,82,"=""Payette County""",39,1,8,92,"=""ID""",81
13,75,"=""Power County""",55,9,18,97,"=""ID""",88
20,79,"=""Shoshone County""",45,3,4,86,"=""ID""",99
NA,NA,"=""Teton County""",NA,NA,NA,NA,"=""ID""",-8
13,72,"=""Twin Falls County""",44,3,19,87,"=""ID""",85
43,137,"=""Valley County""",67,NA,7,99,"=""ID""",180
NA,78,"=""Washington County""",48,3,20,91,"=""ID""",77
6,61,"=""Adams County""",35,3,24,86,"=""IL""",67
10,122,"=""Alexander County""",37,3,91,66,"=""IL""",132
5,69,"=""Bond County""",48,2,15,84,"=""IL""",74
42,82,"=""Boone County""",54,5,26,71,"=""IL""",124
11,77,"=""Brown County""",24,3,1,94,"=""IL""",88
5,75,"=""Bureau County""",45,5,7,93,"=""IL""",80
3,60,"=""Calhoun County""",23,NA,5,95,"=""IL""",63
4,85,"=""Carroll County""",49,5,9,94,"=""IL""",89
5,48,"=""Cass County""",35,2,33,89,"=""IL""",53
13,74,"=""Champaign County""",34,2,76,84,"=""IL""",87
6,52,"=""Christian County""",44,3,4,87,"=""IL""",58
3,63,"=""Clark County""",35,3,5,96,"=""IL""",66
5,81,"=""Clay County""",41,3,4,98,"=""IL""",86
4,89,"=""Clinton County""",65,5,11,93,"=""IL""",93
10,63,"=""Coles County""",38,3,25,85,"=""IL""",73
61,140,"=""Cook County""",42,4,91,89,"=""IL""",201
8,40,"=""Crawford County""",43,NA,23,75,"=""IL""",48
5,94,"=""Cumberland County""",43,1,0,97,"=""IL""",99
10,73,"=""DeKalb County""",28,1,58,97,"=""IL""",83
2,62,"=""De Witt County""",26,1,7,93,"=""IL""",64
13,19,"=""Douglas County""",25,NA,34,69,"=""IL""",32
17,103,"=""DuPage County""",49,7,61,90,"=""IL""",120
6,78,"=""Edgar County""",50,3,2,92,"=""IL""",84
5,57,"=""Edwards County""",28,6,3,91,"=""IL""",62
3,62,"=""Effingham County""",37,3,4,94,"=""IL""",65
8,54,"=""Fayette County""",33,4,7,72,"=""IL""",62
26,69,"=""Ford County""",46,4,11,97,"=""IL""",95
12,67,"=""Franklin County""",36,2,4,93,"=""IL""",79
2,61,"=""Fulton County""",44,4,5,93,"=""IL""",63
14,62,"=""Gallatin County""",38,3,3,94,"=""IL""",76
6,70,"=""Greene County""",45,5,1,94,"=""IL""",76
4,58,"=""Grundy County""",59,6,12,92,"=""IL""",62
2,75,"=""Hamilton County""",56,9,3,99,"=""IL""",77
4,62,"=""Hancock County""",46,4,3,88,"=""IL""",66
2,98,"=""Hardin County""",41,2,4,100,"=""IL""",100
NA,56,"=""Henderson County""",54,8,0,85,"=""IL""",55
6,68,"=""Henry County""",31,2,23,91,"=""IL""",74
NA,59,"=""Iroquois County""",83,28,6,91,"=""IL""",58
13,90,"=""Jackson County""",26,1,61,72,"=""IL""",103
4,34,"=""Jasper County""",66,3,3,85,"=""IL""",38
7,70,"=""Jefferson County""",41,4,36,86,"=""IL""",77
5,67,"=""Jersey County""",45,2,4,87,"=""IL""",72
5,122,"=""Jo Daviess County""",47,3,8,59,"=""IL""",127
4,87,"=""Johnson County""",39,5,2,94,"=""IL""",91
25,94,"=""Kane County""",38,3,74,89,"=""IL""",119
14,86,"=""Kankakee County""",39,2,70,68,"=""IL""",100
30,93,"=""Kendall County""",37,4,52,84,"=""IL""",123
4,71,"=""Knox County""",33,2,33,89,"=""IL""",75
21,102,"=""Lake County""",37,4,69,86,"=""IL""",123
6,70,"=""LaSalle County""",29,1,21,94,"=""IL""",76
3,62,"=""Lawrence County""",44,6,4,92,"=""IL""",65
13,75,"=""Lee County""",39,5,14,88,"=""IL""",88
6,62,"=""Livingston County""",37,2,14,86,"=""IL""",68
2,71,"=""Logan County""",54,7,8,83,"=""IL""",73
17,59,"=""McDonough County""",35,2,26,88,"=""IL""",76
46,112,"=""McHenry County""",44,3,27,85,"=""IL""",158
12,85,"=""McLean County""",36,2,53,85,"=""IL""",97
11,70,"=""Macon County""",31,2,61,80,"=""IL""",81
11,71,"=""Macoupin County""",37,3,6,88,"=""IL""",82
16,79,"=""Madison County""",42,3,56,92,"=""IL""",95
4,68,"=""Marion County""",36,2,27,95,"=""IL""",72
NA,66,"=""Marshall County""",77,7,3,88,"=""IL""",65
5,50,"=""Mason County""",28,1,3,85,"=""IL""",55
38,69,"=""Massac County""",36,2,21,97,"=""IL""",107
11,66,"=""Menard County""",34,3,7,62,"=""IL""",77
3,61,"=""Mercer County""",44,4,10,79,"=""IL""",64
NA,NA,"=""Monroe County""",NA,NA,NA,NA,"=""IL""",-8
4,64,"=""Montgomery County""",38,4,3,93,"=""IL""",68
2,65,"=""Morgan County""",35,2,16,95,"=""IL""",67
11,63,"=""Moultrie County""",30,NA,26,75,"=""IL""",74
5,84,"=""Ogle County""",57,7,10,89,"=""IL""",89
19,83,"=""Peoria County""",33,2,72,84,"=""IL""",102
11,70,"=""Perry County""",27,1,14,74,"=""IL""",81
8,52,"=""Piatt County""",36,NA,3,96,"=""IL""",60
7,69,"=""Pike County""",41,5,2,79,"=""IL""",76
5,65,"=""Pope County""",37,4,4,93,"=""IL""",70
12,116,"=""Pulaski County""",33,1,85,92,"=""IL""",128
9,71,"=""Randolph County""",33,1,13,93,"=""IL""",80
4,63,"=""Richland County""",42,4,8,83,"=""IL""",67
13,74,"=""Rock Island County""",33,2,49,88,"=""IL""",87
34,100,"=""St. Clair County""",33,2,87,78,"=""IL""",134
3,72,"=""Saline County""",26,1,12,91,"=""IL""",75
9,79,"=""Sangamon County""",33,2,64,85,"=""IL""",88
NA,51,"=""Schuyler County""",77,36,5,93,"=""IL""",50
4,66,"=""Scott County""",29,NA,3,94,"=""IL""",70
3,73,"=""Shelby County""",38,1,4,86,"=""IL""",76
NA,68,"=""Stark County""",78,13,4,85,"=""IL""",67
14,63,"=""Stephenson County""",42,5,45,85,"=""IL""",77
16,83,"=""Tazewell County""",50,5,5,92,"=""IL""",99
2,81,"=""Union County""",36,3,10,88,"=""IL""",83
17,57,"=""Vermilion County""",31,2,58,77,"=""IL""",74
6,70,"=""Wabash County""",60,6,2,95,"=""IL""",76
3,77,"=""Warren County""",35,4,16,94,"=""IL""",80
NA,NA,"=""Washington County""",NA,NA,NA,NA,"=""IL""",-8
57,53,"=""Wayne County""",45,1,6,75,"=""IL""",110
7,69,"=""White County""",55,6,3,93,"=""IL""",76
4,94,"=""Whiteside County""",52,4,17,78,"=""IL""",98
14,91,"=""Will County""",35,3,79,89,"=""IL""",105
5,80,"=""Williamson County""",36,1,15,90,"=""IL""",85
22,80,"=""Winnebago County""",34,3,64,83,"=""IL""",102
9,68,"=""Woodford County""",49,4,8,80,"=""IL""",77
11,71,"=""Adams County""",36,2,17,84,"=""IN""",82
13,94,"=""Allen County""",26,1,69,83,"=""IN""",107
21,85,"=""Bartholomew County""",42,3,12,79,"=""IN""",106
5,92,"=""Benton County""",64,9,5,84,"=""IN""",97
15,63,"=""Blackford County""",44,4,4,87,"=""IN""",78
5,76,"=""Boone County""",57,6,30,87,"=""IN""",81
3,81,"=""Brown County""",60,6,3,84,"=""IN""",84
9,58,"=""Carroll County""",35,2,2,81,"=""IN""",67
15,68,"=""Cass County""",51,4,11,88,"=""IN""",83
7,77,"=""Clark County""",43,3,30,89,"=""IN""",84
7,59,"=""Clay County""",39,2,6,91,"=""IN""",66
8,92,"=""Clinton County""",80,4,4,90,"=""IN""",100
16,67,"=""Crawford County""",72,5,2,91,"=""IN""",83
8,64,"=""Daviess County""",35,2,6,85,"=""IN""",72
9,77,"=""Dearborn County""",52,4,6,90,"=""IN""",86
8,75,"=""Decatur County""",56,5,3,87,"=""IN""",83
9,78,"=""DeKalb County""",61,5,4,91,"=""IN""",87
10,84,"=""Delaware County""",28,1,37,91,"=""IN""",94
7,62,"=""Dubois County""",56,6,5,89,"=""IN""",69
40,70,"=""Elkhart County""",36,4,50,93,"=""IN""",110
10,81,"=""Fayette County""",45,3,4,87,"=""IN""",91
16,71,"=""Floyd County""",22,1,34,90,"=""IN""",87
38,68,"=""Fountain County""",56,2,2,88,"=""IN""",106
2,134,"=""Franklin County""",64,NA,7,85,"=""IN""",136
12,107,"=""Fulton County""",59,5,1,84,"=""IN""",119
6,64,"=""Gibson County""",43,3,6,89,"=""IN""",70
8,66,"=""Grant County""",39,2,35,82,"=""IN""",74
3,56,"=""Greene County""",42,2,2,87,"=""IN""",59
16,88,"=""Hamilton County""",41,3,32,89,"=""IN""",104
17,75,"=""Hancock County""",59,5,7,90,"=""IN""",92
11,71,"=""Harrison County""",70,2,5,91,"=""IN""",82
4,71,"=""Hendricks County""",52,3,27,87,"=""IN""",75
10,72,"=""Henry County""",39,1,7,97,"=""IN""",82
39,63,"=""Howard County""",28,1,38,87,"=""IN""",102
9,58,"=""Huntington County""",45,1,4,84,"=""IN""",67
13,71,"=""Jackson County""",41,2,7,96,"=""IN""",84
15,93,"=""Jasper County""",25,NA,6,93,"=""IN""",108
35,60,"=""Jay County""",29,3,6,91,"=""IN""",95
21,59,"=""Jefferson County""",38,2,10,87,"=""IN""",80
7,68,"=""Jennings County""",42,1,4,86,"=""IN""",75
16,93,"=""Johnson County""",45,3,20,88,"=""IN""",109
6,68,"=""Knox County""",32,2,6,83,"=""IN""",74
6,55,"=""Kosciusko County""",57,5,7,79,"=""IN""",61
NA,64,"=""LaGrange County""",54,6,4,93,"=""IN""",63
16,84,"=""Lake County""",29,2,90,85,"=""IN""",100
18,90,"=""LaPorte County""",29,2,57,82,"=""IN""",108
6,68,"=""Lawrence County""",49,3,1,96,"=""IN""",74
13,83,"=""Madison County""",34,1,44,93,"=""IN""",96
35,90,"=""Marion County""",36,2,79,79,"=""IN""",125
1,67,"=""Marshall County""",60,4,9,92,"=""IN""",68
10,88,"=""Martin County""",50,2,2,84,"=""IN""",98
5,58,"=""Miami County""",31,2,12,82,"=""IN""",63
12,74,"=""Monroe County""",33,2,20,97,"=""IN""",86
4,71,"=""Montgomery County""",42,2,6,78,"=""IN""",75
3,87,"=""Morgan County""",47,3,4,91,"=""IN""",90
NA,NA,"=""Newton County""",NA,NA,NA,NA,"=""IN""",-8
5,63,"=""Noble County""",42,5,5,94,"=""IN""",68
10,82,"=""Ohio County""",63,5,5,84,"=""IN""",92
7,60,"=""Orange County""",48,1,5,88,"=""IN""",67
NA,75,"=""Owen County""",53,6,3,90,"=""IN""",74
1,73,"=""Parke County""",45,3,1,83,"=""IN""",74
5,64,"=""Perry County""",47,3,2,88,"=""IN""",69
9,61,"=""Pike County""",63,5,2,87,"=""IN""",70
8,100,"=""Porter County""",35,3,47,88,"=""IN""",108
4,61,"=""Posey County""",38,4,7,91,"=""IN""",65
NA,NA,"=""Pulaski County""",NA,NA,NA,NA,"=""IN""",-8
7,69,"=""Putnam County""",37,2,5,77,"=""IN""",76
4,53,"=""Randolph County""",40,0,8,83,"=""IN""",57
9,73,"=""Ripley County""",37,1,2,87,"=""IN""",82
7,72,"=""Rush County""",63,8,5,93,"=""IN""",79
14,80,"=""St. Joseph County""",31,2,67,86,"=""IN""",94
10,70,"=""Scott County""",39,2,3,87,"=""IN""",80
7,96,"=""Shelby County""",62,3,6,90,"=""IN""",103
4,83,"=""Spencer County""",46,4,2,91,"=""IN""",87
NA,73,"=""Starke County""",96,16,8,98,"=""IN""",72
9,64,"=""Steuben County""",39,4,4,94,"=""IN""",73
2,62,"=""Sullivan County""",42,3,1,93,"=""IN""",64
NA,NA,"=""Switzerland County""",NA,NA,NA,NA,"=""IN""",-8
9,66,"=""Tippecanoe County""",35,3,40,89,"=""IN""",75
NA,NA,"=""Tipton County""",NA,NA,NA,NA,"=""IN""",-8
7,71,"=""Union County""",83,12,2,94,"=""IN""",78
22,77,"=""Vanderburgh County""",28,1,46,83,"=""IN""",99
6,61,"=""Vermillion County""",37,1,3,92,"=""IN""",67
6,66,"=""Vigo County""",38,3,18,90,"=""IN""",72
3,72,"=""Wabash County""",53,3,2,94,"=""IN""",75
16,97,"=""Warren County""",25,NA,0,84,"=""IN""",113
7,77,"=""Warrick County""",50,3,7,87,"=""IN""",84
7,89,"=""Washington County""",52,3,2,86,"=""IN""",96
21,76,"=""Wayne County""",37,3,24,90,"=""IN""",97
7,80,"=""Wells County""",35,2,6,78,"=""IN""",87
7,80,"=""White County""",60,3,5,90,"=""IN""",87
11,71,"=""Whitley County""",73,10,8,93,"=""IN""",82
33,59,"=""Adair County""",42,8,5,87,"=""IA""",92
10,48,"=""Adams County""",57,3,3,97,"=""IA""",58
4,66,"=""Allamakee County""",53,11,14,82,"=""IA""",70
23,74,"=""Appanoose County""",30,1,6,70,"=""IA""",97
9,48,"=""Audubon County""",53,20,0,67,"=""IA""",57
NA,53,"=""Benton County""",11,NA,15,89,"=""IA""",52
24,81,"=""Black Hawk County""",38,2,43,85,"=""IA""",105
75,53,"=""Boone County""",37,5,6,93,"=""IA""",128
28,66,"=""Bremer County""",61,6,5,69,"=""IA""",94
50,79,"=""Buchanan County""",28,2,2,62,"=""IA""",129
3,72,"=""Buena Vista County""",54,3,36,86,"=""IA""",75
4,28,"=""Butler County""",63,16,16,62,"=""IA""",32
19,47,"=""Calhoun County""",64,13,7,82,"=""IA""",66
3,73,"=""Carroll County""",41,2,11,72,"=""IA""",76
13,64,"=""Cass County""",38,2,4,94,"=""IA""",77
15,129,"=""Cedar County""",51,NA,12,86,"=""IA""",144
9,73,"=""Cerro Gordo County""",49,5,13,89,"=""IA""",82
5,74,"=""Cherokee County""",49,5,7,80,"=""IA""",79
5,83,"=""Chickasaw County""",47,17,0,62,"=""IA""",88
5,43,"=""Clarke County""",60,7,10,83,"=""IA""",48
4,57,"=""Clay County""",49,6,10,83,"=""IA""",61
4,98,"=""Clayton County""",52,11,2,84,"=""IA""",102
17,78,"=""Clinton County""",39,3,27,96,"=""IA""",95
3,72,"=""Crawford County""",51,7,13,77,"=""IA""",75
27,69,"=""Dallas County""",44,6,21,95,"=""IA""",96
11,59,"=""Davis County""",19,4,4,81,"=""IA""",70
4,56,"=""Decatur County""",60,8,3,95,"=""IA""",60
24,84,"=""Delaware County""",33,4,24,91,"=""IA""",108
22,71,"=""Des Moines County""",41,4,28,81,"=""IA""",93
4,64,"=""Dickinson County""",48,2,6,97,"=""IA""",68
11,72,"=""Dubuque County""",31,3,39,84,"=""IA""",83
3,62,"=""Emmet County""",53,11,9,80,"=""IA""",65
4,73,"=""Fayette County""",43,7,7,80,"=""IA""",77
4,72,"=""Floyd County""",41,4,15,83,"=""IA""",76
8,81,"=""Franklin County""",44,10,8,83,"=""IA""",89
2,53,"=""Fremont County""",51,10,4,96,"=""IA""",55
3,77,"=""Greene County""",56,4,3,82,"=""IA""",80
5,95,"=""Grundy County""",56,13,0,62,"=""IA""",100
3,71,"=""Guthrie County""",51,2,2,67,"=""IA""",74
21,74,"=""Hamilton County""",35,3,8,87,"=""IA""",95
11,48,"=""Hancock County""",42,7,13,76,"=""IA""",59
5,46,"=""Hardin County""",29,3,6,63,"=""IA""",51
2,70,"=""Harrison County""",53,6,2,77,"=""IA""",72
22,66,"=""Henry County""",49,5,7,89,"=""IA""",88
4,83,"=""Howard County""",47,10,4,81,"=""IA""",87
50,79,"=""Humboldt County""",32,2,4,87,"=""IA""",129
2,52,"=""Ida County""",55,7,3,72,"=""IA""",54
NA,NA,"=""Iowa County""",NA,NA,NA,NA,"=""IA""",-8
34,79,"=""Jackson County""",35,3,17,90,"=""IA""",113
70,79,"=""Jasper County""",50,4,11,95,"=""IA""",149
35,75,"=""Jefferson County""",59,3,6,78,"=""IA""",110
41,92,"=""Johnson County""",28,2,54,90,"=""IA""",133
37,82,"=""Jones County""",27,2,22,86,"=""IA""",119
25,98,"=""Keokuk County""",44,9,2,77,"=""IA""",123
4,69,"=""Kossuth County""",38,6,10,83,"=""IA""",73
5,71,"=""Lee County""",42,3,11,83,"=""IA""",76
16,82,"=""Linn County""",41,3,38,83,"=""IA""",98
3,86,"=""Louisa County""",45,10,0,86,"=""IA""",89
4,75,"=""Lucas County""",65,13,1,83,"=""IA""",79
1,62,"=""Lyon County""",44,3,3,90,"=""IA""",63
18,63,"=""Madison County""",67,8,4,96,"=""IA""",81
3,73,"=""Mahaska County""",43,6,9,78,"=""IA""",76
9,65,"=""Marion County""",37,5,9,94,"=""IA""",74
6,63,"=""Marshall County""",43,3,21,71,"=""IA""",69
13,48,"=""Mills County""",30,2,8,93,"=""IA""",61
10,69,"=""Mitchell County""",64,NA,0,78,"=""IA""",79
3,62,"=""Monona County""",58,11,4,88,"=""IA""",65
4,70,"=""Monroe County""",52,10,9,59,"=""IA""",74
14,53,"=""Montgomery County""",48,6,5,94,"=""IA""",67
17,69,"=""Muscatine County""",36,3,24,95,"=""IA""",86
4,65,"=""O'Brien County""",45,5,14,72,"=""IA""",69
4,56,"=""Osceola County""",68,6,6,78,"=""IA""",60
12,72,"=""Page County""",50,7,3,92,"=""IA""",84
3,68,"=""Palo Alto County""",43,3,4,78,"=""IA""",71
3,66,"=""Plymouth County""",47,8,7,85,"=""IA""",69
45,55,"=""Pocahontas County""",21,NA,17,87,"=""IA""",100
16,81,"=""Polk County""",43,3,40,85,"=""IA""",97
10,76,"=""Pottawattamie County""",40,2,14,90,"=""IA""",86
4,64,"=""Poweshiek County""",50,5,6,84,"=""IA""",68
8,51,"=""Ringgold County""",57,9,3,92,"=""IA""",59
3,80,"=""Sac County""",58,13,3,70,"=""IA""",83
23,71,"=""Scott County""",41,3,55,88,"=""IA""",94
3,49,"=""Shelby County""",50,10,3,75,"=""IA""",52
4,82,"=""Sioux County""",45,5,8,85,"=""IA""",86
26,60,"=""Story County""",43,7,23,93,"=""IA""",86
2,85,"=""Tama County""",46,NA,8,63,"=""IA""",87
8,50,"=""Taylor County""",52,13,4,94,"=""IA""",58
14,52,"=""Union County""",37,4,6,93,"=""IA""",66
10,84,"=""Van Buren County""",58,NA,0,75,"=""IA""",94
7,59,"=""Wapello County""",34,1,19,80,"=""IA""",66
8,72,"=""Warren County""",49,4,7,91,"=""IA""",80
37,88,"=""Washington County""",61,5,10,76,"=""IA""",125
8,60,"=""Wayne County""",33,6,0,79,"=""IA""",68
48,59,"=""Webster County""",35,3,18,88,"=""IA""",107
5,58,"=""Winnebago County""",41,5,15,76,"=""IA""",63
4,91,"=""Winneshiek County""",54,7,8,73,"=""IA""",95
4,62,"=""Woodbury County""",39,3,31,91,"=""IA""",66
5,58,"=""Worth County""",35,NA,26,83,"=""IA""",63
22,62,"=""Wright County""",65,11,0,87,"=""IA""",84
3,72,"=""Allen County""",38,1,9,90,"=""KS""",75
NA,60,"=""Anderson County""",81,6,6,65,"=""KS""",59
5,69,"=""Atchison County""",35,2,19,93,"=""KS""",74
3,63,"=""Barber County""",62,13,2,74,"=""KS""",66
3,53,"=""Barton County""",40,8,11,84,"=""KS""",56
9,55,"=""Bourbon County""",41,5,10,88,"=""KS""",64
6,71,"=""Brown County""",63,9,15,82,"=""KS""",77
8,61,"=""Butler County""",44,6,10,80,"=""KS""",69
2,87,"=""Chase County""",76,24,0,98,"=""KS""",89
